42689902,414691355,8.8,1469089663541
42689902,414691355,8.25,1469089663541
17175036,17538870,8.55,1487057962821
37758974,1789525,7.2,1460526431101
46762796,26348081,9.0,1455470578106
39646633,474943108,5.85,1493394229821
269528599,35847388,9.0,1488642865533
36319763,30089279,5.85,1447082312816
20867751,26067016,7.2,1485106183440
41000855,17620227,8.1,1466559744140
137667489,472107954,8.55,1493736089269
2865685,79941,9.0,1493404496478
83659385,2060304,8.55,1493124713035
45767679,27683337,9.0,1429852439479
60117194,28737747,9.0,1435651407235
19762761,411755851,6.3,1463068632543
35514399,28971281,9.0,1426264639852
333589857,28306069,8.8,1481789044414
250018355,562239,9.900000000000002,1476713070861
89373223,423118329,8.55,1492471695914
41992969,32272267,9.0,1492441588434
